#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Kinetic Energy (kJ/mole)"	"Total Energy (kJ/mole)"	"Temperature (K)"	"Box Volume (nm^3)"	"Density (g/mL)"	"Speed (ns/day)"
122500	245.00000000044173	-1640617.8691653525	323115.1010166042	-1317502.7681487482	301.33613111414195	1268.1332016730564	1.0106025435374153	10.4
123000	246.0000000004465	-1637990.8303223876	321184.518248718	-1316806.3120736696	299.5356756719787	1271.0726583935093	1.0082654446951962	10.4
123500	247.00000000045128	-1637546.7348609483	322890.26422833884	-1314656.4706326094	301.12644902966224	1271.8305977143204	1.007664575343788	10.4
124000	248.00000000045605	-1635159.92188353	321476.10635753075	-1313683.8155259993	299.8076098289156	1271.3340528301076	1.0080581388519594	10.4
124500	249.00000000046083	-1636898.3588122595	323369.2651503993	-1313529.09366186	301.57316378920046	1273.1371015497252	1.006630501612934	10.4
125000	250.0000000004656	-1636758.7455188613	322210.9195716267	-1314547.8259472346	300.4928943307248	1275.839957838602	1.0044979633073703	10.4
125500	251.00000000047038	-1636787.0738360342	323099.62447910674	-1313687.4493569275	301.3216977437489	1273.6819166996627	1.0061999172256728	10.4
126000	252.00000000047515	-1637104.1306906734	323159.8667004312	-1313944.263990242	301.37787945065935	1272.750798507019	1.0069360322997818	10.4
126500	253.00000000047993	-1638652.535343376	321553.8007328146	-1317098.7346105613	299.88006735994304	1271.3487142869412	1.008046513716603	10.4
127000	254.0000000004847	-1638210.4685563082	320232.9483427112	-1317977.520213597	298.64824455824066	1273.4067455139916	1.0064173475363105	10.4
127500	255.00000000048948	-1639747.064859704	321807.20631319936	-1317939.8585465048	300.1163926104672	1271.9533162498133	1.007567355485658	10.4
128000	256.00000000049425	-1638839.9401161512	324352.3999244377	-1314487.5401917135	302.4900321999941	1270.1619007659092	1.0089884119357093	10.4
128500	257.000000000499	-1639109.358846643	321436.2282048173	-1317673.1306418257	299.7704195886054	1270.1749604890263	1.0089780376883042	10.4
129000	258.0000000005038	-1641533.71898497	322049.3259057825	-1319484.3930791873	300.34219258411866	1268.5110107147298	1.0103015490838698	10.4
129500	259.0000000005086	-1637476.596281913	320738.62043945235	-1316737.9758424608	299.119832771744	1270.2515415829303	1.0089172082861566	10.4
130000	260.00000000051335	-1636553.238304047	320073.7051409568	-1316479.5331630902	298.49973484708227	1271.0313394037614	1.0082982216286054	10.4
